gap_type,alpha,xmin_s,xmin_h
global,5.409387,59233.000000,16.453611
global,3.463928,28765.000000,7.990278
global,2.794716,26684.000000,7.412222
global,1.759242,2131.000000,0.591944
global,3.201557,41716.000000,11.587778
global,4.115674,31712.000000,8.808889
global,1.361442,56.000000,0.015556
global,1.240738,15.000000,0.004167
global,1.251067,23.000000,0.006389
global,1.775955,191.000000,0.053056
global,1.385043,289.000000,0.080278
global,1.547380,2797.000000,0.776944
global,1.298353,49.000000,0.013611
global,1.307130,58.000000,0.016111
global,1.524676,88.000000,0.024444
global,2.197578,6594.000000,1.831667
global,1.575935,430.000000,0.119444
global,1.511401,394.000000,0.109444
global,3.338192,44102.000000,12.250556
global,1.397793,280.000000,0.077778
global,2.725018,3936.000000,1.093333
global,1.317022,111.000000,0.030833
global,1.425789,121.000000,0.033611
global,1.809626,1255.000000,0.348611
global,1.744772,4898.000000,1.360556
global,2.283830,28787.000000,7.996389
global,1.467763,116.000000,0.032222
global,1.311791,128.000000,0.035556
global,1.964316,1939.000000,0.538611
global,1.530463,272.000000,0.075556
global,2.736391,25169.000000,6.991389
global,1.743830,5495.000000,1.526389
global,3.904594,42793.000000,11.886944
global,1.527344,2423.000000,0.673056
global,1.515013,2531.000000,0.703056
global,2.530160,29559.000000,8.210833
global,4.769334,28365.000000,7.879167
global,1.494435,39.000000,0.010833
global,5.232395,74051.000000,20.569722
global,1.340343,53.000000,0.014722
global,1.611719,3626.000000,1.007222
global,1.698105,19.000000,0.005278
global,1.520916,238.000000,0.066111
global,1.359751,48.000000,0.013333
global,4.396567,17.000000,0.004722
global,1.845589,4393.000000,1.220278
global,1.417337,137.000000,0.038056
global,3.654101,34227.000000,9.507500
global,2.791058,50055.000000,13.904167
global,1.511220,63.000000,0.017500
global,2.783494,38003.000000,10.556389
global,1.337722,157.000000,0.043611
global,2.001509,2391.000000,0.664167
global,1.883737,6238.000000,1.732778
global,2.669179,35421.000000,9.839167
global,1.300730,95.000000,0.026389
global,3.052889,52772.000000,14.658889
global,1.687234,5229.000000,1.452500
global,1.374061,45.000000,0.012500
global,2.135476,18216.000000,5.060000
global,1.838562,5073.000000,1.409167
global,2.072683,13405.000000,3.723611
global,17.096002,7225.000000,2.006944
global,2.741287,5752.000000,1.597778
global,2.990920,47727.000000,13.257500
global,3.301201,34309.000000,9.530278
global,1.623488,329.000000,0.091389
global,1.300545,27.000000,0.007500
global,2.172508,10091.000000,2.803056
global,1.548406,651.000000,0.180833
global,1.310971,29.000000,0.008056
global,1.402905,308.000000,0.085556
global,3.484199,45367.000000,12.601944
global,1.202363,11.000000,0.003056
global,6.309508,37341.000000,10.372500
